players,starttime,durationaverage,durationstd
1,0,0.3986,0.059559214
2,0,0.4808,0.075157834
4,0,0.544,0.128819641
8,0,0.612,0.082304313
12,0,0.6368,0.052213025
16,0,0.8136,0.119378809
1,250,0.4268,0.052284797
2,250,0.511,0.036276714
4,250,0.9092,0.161510681
8,250,0.8244,0.096559826
12,250,1.1028,0.25033917
16,250,1.1704,0.256504971
1,500,0.433,0.027258026
2,500,0.5134,0.062460387
4,500,0.562,0.068963759
8,500,0.806,0.186697616
12,500,1.0024,0.126092426
16,500,1.1818,0.10331844
1,750,0.5128,0.102463164
2,750,0.4592,0.032614414
4,750,0.4866,0.075101931
8,750,0.8376,0.151997697
12,750,1.2064,0.176383956
16,750,1.5568,0.680109329
1,1000,0.456,0.032357379
2,1000,0.4798,0.080973452
4,1000,0.6506,0.072507241
8,1000,1.015,0.276864588
12,1000,1.233,0.085049985
16,1000,1.4508,0.179004749
