players,starttime,duration
1,0,0.421
1,0,0.489
1,0,0.378
1,0,0.332
1,0,0.373
2,0,0.464
2,0,0.456
2,0,0.465
2,0,0.609
2,0,0.41
4,0,0.439
4,0,0.584
4,0,0.484
4,0,0.461
4,0,0.752
8,0,0.552
8,0,0.69
8,0,0.698
8,0,0.608
8,0,0.512
12,0,0.607
12,0,0.623
12,0,0.729
12,0,0.604
12,0,0.621
16,0,0.934
16,0,0.697
16,0,0.948
16,0,0.77
16,0,0.719
1,250,0.422
1,250,0.507
1,250,0.373
1,250,0.442
1,250,0.39
2,250,0.497
2,250,0.485
2,250,0.575
2,250,0.501
2,250,0.497
4,250,0.926
4,250,1.066
4,250,1.002
4,250,0.643
4,250,0.909
8,250,0.787
8,250,0.742
8,250,0.765
8,250,0.983
8,250,0.845
12,250,1.449
12,250,0.82
12,250,0.91
12,250,1.219
12,250,1.116
16,250,0.889
16,250,1.019
16,250,1.409
16,250,1.474
16,250,1.061
1,500,0.424
1,500,0.478
1,500,0.405
1,500,0.434
1,500,0.424
2,500,0.542
2,500,0.429
2,500,0.473
2,500,0.535
2,500,0.588
4,500,0.593
4,500,0.609
4,500,0.627
4,500,0.464
4,500,0.517
8,500,0.595
8,500,0.728
8,500,0.785
8,500,0.819
8,500,1.103
12,500,1.06
12,500,0.884
12,500,0.856
12,500,1.147
12,500,1.065
16,500,1.269
16,500,1.178
16,500,1.265
16,500,1.014
16,500,1.183
1,750,0.422
1,750,0.428
1,750,0.665
1,750,0.564
1,750,0.485
2,750,0.44
2,750,0.472
2,750,0.503
2,750,0.417
2,750,0.464
4,750,0.547
4,750,0.397
4,750,0.565
4,750,0.504
4,750,0.42
8,750,0.775
8,750,0.748
8,750,0.765
8,750,1.108
8,750,0.792
12,750,1.435
12,750,1.344
12,750,1.133
12,750,1.11
12,750,1.01
16,750,1.396
16,750,2.763
16,750,1.171
16,750,1.266
16,750,1.188
1,1000,0.444
1,1000,0.467
1,1000,0.425
1,1000,0.437
1,1000,0.507
2,1000,0.519
2,1000,0.425
2,1000,0.583
2,1000,0.376
2,1000,0.496
4,1000,0.696
4,1000,0.702
4,1000,0.703
4,1000,0.611
4,1000,0.541
8,1000,1.124
8,1000,1.453
8,1000,0.846
8,1000,0.788
8,1000,0.864
12,1000,1.162
12,1000,1.282
12,1000,1.249
12,1000,1.133
12,1000,1.339
16,1000,1.653
16,1000,1.21
16,1000,1.374
16,1000,1.6
16,1000,1.417
